country,original_title,year,genre,avg_vote,votes,worlwide_gross_income
USA,Zerophilia,2005,Comedy,6.1,2229,7763.0
Japan,Noriko no shokutaku,2005,Drama,7.1,4058,7810.0
USA,The Cake Eaters,2007,Comedy,6.3,6802,7820.0
USA,The Ballad of Lefty Brown,2017,Action,6.3,5212,7856.0
India,Chhello Divas,2015,Comedy,8.3,2407,7876.0
Italy,Travolti da un insolito destino nell'azzurro mare d'agosto,1974,Adventure,7.6,5318,7876.0
India,Vettaiyaadu Vilaiyaadu,2006,Action,7.9,6464,7888.0
UK,Astral,2018,Drama,5.3,3779,7903.0
USA,Knucklehead,2010,Action,5.2,2380,7927.0
USA,Stolen Lives,2009,Crime,6.1,5306,7943.0
USA,I Sell the Dead,2008,Comedy,6.1,10332,8050.0
USA,The Wave,2019,Sci-Fi,6.0,2467,8101.0
Australia,Lake Mungo,2008,Drama,6.3,16773,8128.0
West Germany,Die Sehnsucht der Veronika Voss,1982,Drama,7.8,6089,8144.0
West Germany,Die bitteren Tränen der Petra von Kant,1972,Drama,7.7,8294,8144.0
West Germany,Faustrecht der Freiheit,1975,Drama,7.7,5026,8144.0
West Germany,Lola,1981,Drama,7.5,5121,8144.0
West Germany,Händler der vier Jahreszeiten,1972,Drama,7.4,4157,8144.0
West Germany,Chinesisches Roulette,1976,Drama,7.4,3568,8144.0
West Germany,Lili Marleen,1981,Drama,7.2,3516,8144.0
West Germany,Katzelmacher,1969,Drama,7.0,2515,8144.0
West Germany,Fontane Effi Briest,1974,Drama,6.9,2184,8144.0
West Germany,Liebe ist kälter als der Tod,1969,Comedy,6.6,2660,8144.0
USA,The Man Who Knew Too Much,1956,Drama,7.5,56718,8190.0
USA,Don't Kill It,2016,Action,5.2,4082,8196.0
Brazil,O Pagador de Promessas,1962,Drama,8.3,2691,8229.0
Iran,Leila,1997,Drama,7.6,3300,8231.0
USA,Life Partners,2014,Comedy,6.2,8248,8265.0
USA,Grace,2009,Drama,5.1,7620,8297.0
USA,The Last Word,2008,Drama,6.2,2958,8298.0
USA,About Cherry,2012,Drama,4.8,9636,8315.0
USA,One More Time,2015,Comedy,5.2,2096,8317.0
USA,A Teacher,2013,Drama,4.8,4242,8348.0
UK,Ryan's Daughter,1970,Drama,7.4,8589,8358.0
Italy,I racconti di Canterbury,1972,Comedy,6.5,6512,8368.0
Canada,The Confirmation,2016,Comedy,6.4,6097,8382.0
Argentina,Esteros,2016,Drama,7.0,3085,8404.0
USA,Love Streams,1984,Drama,7.8,5008,8412.0
Italy,Prima della rivoluzione,1964,Drama,7.0,2364,8438.0
Mexico,Tenemos la carne,2016,Drama,4.7,2122,8438.0
